,会社名,項目B,項目C
0,株式会社IDD | 未経験大歓迎/高収入/転勤なし/完全週休2日/ノルマ一切なし,,
1,株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同,,
2,株式会社エージェントゲート | 化粧品メーカー等と取引/産育休取得＆復帰100％/残業基本なし,,
3,株式会社リンクスタッフグループ | ＜コロナ禍でも前年比成長率150%見込み！＞★実力を試せる！,,
4,株式会社エストゥルース | 【当社の実話】土日祝休み/残業ゼロ/未経験入社でも年収1200万円,,
5,株式会社京栄センター | 《名古屋・東京・大阪・京都・福岡での募集》◆平均年齢27.5歳,,
6,DSP株式会社 | <大阪府緊急雇用対策に賛同>【完全週休2日】【産休育休実績有】,,
7,JCSロジスコ株式会社 | ◆電話・Web面接も可能／翌日振込・前払いもOK／勤務地自由！◆,,
8,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,,
9,株式会社日光ホーム | 【人気芸人を起用したCMで知名度抜群！】,,
10,株式会社エージェントゲート | 大手プライム多数/前職以上の給与最大限保証/リモート勤務有,,
11,"住友不動産株式会社 | 【東証一部上場】★転勤なし ★5人に1人が年収1,000万円以上！",,
12,光電気工事株式会社 | 『年休120日～×最高の仲間×新社屋勤務』★年収700万も目指せる,,
13,UTエイム株式会社 | 【東証1部上場グループの安定基盤】条件重視の方はぜひ！,,
14,UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／今月入社も可能,,
15,株式会社そら | 【Dr.ストレッチを全国展開】目標や夢に向けて頑張る仲間が集結,,
16,互栄土木建設株式会社 | ◆1回の賞与で100万円の支給実績あり！◆月給大幅アップ可能！,,
17,株式会社杉並モータース | ★残業代100%支給★有休取得率ほぼ100％ ★Web面接OK★日勤勤務,,
18,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,,
19,株式会社ケアリッツ・アンド・パートナーズ | <ITと介護事業を手がける成長企業>毎年140%以上の増収★残業少,,
20,有限会社興和土建 | ★残業少なめ ★資格取得支援制度充実 ★多摩エリアに密着◎,,
21,株式会社エージェントゲート | 直近も増益の安定基盤/残業基本なし/リモート勤務も実施中です,,
22,株式会社ワールドコーポレーション,,
23,UTエイム株式会社 | UTグループ株式会社(東証1部上場)のグループ企業★年休最大190日,,
24,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★安定基盤,,
25,株式会社TCG | 【前職給与保証！働く時間は12～18時の6時間！】,,
26,株式会社イースマイル | 【TVCM展開中！全国30拠点を展開】大半が前職より収入UPを実現！,,
27,株式会社修優舘 | オープニング募集・教室長のポスト多数あり/賞与年3回+業績給,,
28,UTエイム株式会社 | 【東証一部上場グループ】安定性抜群★WEB面接OK,,
29,東建コーポレーション株式会社 | ◎WEB面接実施中　◎全国採用実施中（自宅近くの拠点を考慮）,,
30,東建コーポレーション株式会社 | ＼若手限定求人／ 20代で年収100万円以上UPの先輩多数！,,
31,株式会社ミュゼプラチナム | ★週休3日もOK★コスメ社割／全身美容脱毛0円★WEB面接1回,,
32,東建コーポレーション株式会社 | WEB面接実施！『 年齢に関係なく、まだまだやれる会社です！』,,
33,UTコンストラクション株式会社 | <東証一部上場グループ>家電家具付き社宅＋6割補助＋引越費支給,,
34,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,,
35,エムケイ株式会社 | 【大阪府緊急雇用対策に賛同】★社員寮完備★昼勤or夜勤を選択可,,
36,株式会社栄商 | 【U・Iターン歓迎】引越し費用会社負担 & 住宅費用補助あり,,
37,株式会社いーふらん | 高級宝飾時計商おたからや,,
38,日本eリモデル株式会社 | 勤続1年以上の平均月収60万円【大阪府緊急雇用対策に賛同】,,
39,株式会社エフティグループ | 東証JASDAQ上場総合商社★成果主義★年休120日★WEB面接1回,,
40,株式会社誠進堂 | 売上は昨年対比170％UP／平均月収50万円＆平均年収700万円！,,
41,リアルバード株式会社 | ★最長2年3カ月の充実研修★企業のリスクマネジメントをサポート,,
42,大東建託株式会社 | 【東証一部上場】◆全国募集◆残業代1分単位支給◆Web説明会実施,,
43,ケイアイスター不動産株式会社 | 【東証一部上場】CM放映中！昨年も約30店出店/「くるみん」取得,,
44,東建コーポレーション株式会社 | ◎WEB面接実施中　◎全国採用実施中（自宅近くの拠点を考慮）,,
45,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,,
46,UTエイム株式会社 | 【東証一部上場グループ】フリーターもOK！大切なのはこれから♪,,
47,日研トータルソーシング株式会社 | 【大阪府緊急雇用対策に賛同】◆年休最大160日◆残業ほぼなし,,
48,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,,
49,株式会社貴順 | ★未経験歓迎★週・日払いも可★男女活躍中★契約祝金3万円あり,,
