,会社名,仕事内容,初年度年収
0,株式会社IDD | 未経験大歓迎/高収入/転勤なし/完全週休2日/ノルマ一切なし,【提案営業】携帯に関する通信コンサル営業！一般社員の平均月収は40万円以上で管理職になれば年収1000万円以上は確定！？全国民がターゲットです♪,400万円～1200万円
1,株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同,【こんなにも早く転職できるなんて！という声が多数！】各プロジェクト先にて、資材管理業務全般をお任せ★土日休み・年収600万円以上も可能,350万円～500万円
2,株式会社エージェントゲート | 化粧品メーカー等と取引/産育休取得＆復帰100％/残業基本なし,＊平日決まった時間のお仕事で、予定も立てやすい＊【土日祝休み可】TELでの問い合わせ対応など★残業月平均5～10h/有給取得率100％です！,264万円～600万円
3,株式会社リンクスタッフグループ | ＜コロナ禍でも前年比成長率150%見込み！＞★実力を試せる！,人手不足の企業へ当社の人材ソリューションを活かし、アプローチ◆インセンティブ月平均5万円も実現可◆年間賞与50～100万円も実現可な制度,400万円～2000万円
4,株式会社エストゥルース | 【当社の実話】土日祝休み/残業ゼロ/未経験入社でも年収1200万円,【20代活躍中】＼飛び込み営業・ノルマは一切なし！／◆お客様に投資用不動産(ワンルームマンション)を提案 ★1ヶ月の丁寧な研修あり,300万円～720万円
5,株式会社京栄センター | 《名古屋・東京・大阪・京都・福岡での募集》◆平均年齢27.5歳,【 無限の可能性を秘めたベンチャー企業の一員に！ 】◆人材を探す企業と仕事を探す求職者をマッチングさせる、人材サービス業務をお任せします。,300万円～400万円
6,DSP株式会社 | <大阪府緊急雇用対策に賛同>【完全週休2日】【産休育休実績有】,集客に悩みを抱える企業に対して、有名なメディアや広告への掲載を提案します！,300万円～1000万円
7,JCSロジスコ株式会社 | ◆電話・Web面接も可能／翌日振込・前払いもOK／勤務地自由！◆,◆大手ネット通販の品物を、個人宅・企業へ配送します。★ご自身の理想のペースで稼げます！（※加盟金・違約金は不要です／力仕事ではありません）,264万円～600万円
8,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,【営業＆IT業界デビューを応援】法人顧客に、スマートフォンをはじめとした『ソフトバンク商材』をご提案★研修が充実！知識ゼロでも安心スタート♪,300万円～650万円
9,株式会社日光ホーム | 【人気芸人を起用したCMで知名度抜群！】,"【完全反響営業スタイル◎】TVCM、WEB広告などプロモーションで効率的な営業活動を実現！""売れる仕組み""を整えた、住宅の提案営業をお任せします。",300万円～500万円
10,株式会社エージェントゲート | 大手プライム多数/前職以上の給与最大限保証/リモート勤務有,【「好きな技術」「携わりたいフェーズ」など1600案件で実現】Java/PHP/Python、要件定義・設計、大手プライム、AIなど★入社時に年収120万増実績有,300万円～500万円
11,"住友不動産株式会社 | 【東証一部上場】★転勤なし ★5人に1人が年収1,000万円以上！",【飛び込みなしの反響営業】◆オーダーメイドの新築注文住宅の提案 ◆「最長6カ月の研修＋グッドデザイン賞受賞の商品力」が未経験スタートを後押し！,300万円～550万円
12,光電気工事株式会社 | 『年休120日～×最高の仲間×新社屋勤務』★年収700万も目指せる,〔 夜勤・転勤・遠方出張ナシ！ 〕▼希望や適性に応じて[ 施工管理 ] or [ 電気工事士 ]をお任せします。★取引先は大手含め80社以上の安定性◎,400万円～600万円
13,UTエイム株式会社 | 【東証1部上場グループの安定基盤】条件重視の方はぜひ！,【チェックするだけ！などのシンプル業務をお任せ】生産・製造ラインにおける検品・検査や管理業務を担当していただきます。◆未経験安心スタート！,500万円～1020万円
14,UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／今月入社も可能,完全未経験OK！「やりたいことがない…」そんな方もOK！化粧品・医薬品/半導体/自動車分野におけるものづくり業務★8/9月入社歓迎,400万円～600万円
15,株式会社そら | 【Dr.ストレッチを全国展開】目標や夢に向けて頑張る仲間が集結,【スポーツの経験が活きる！毎日、身体を動かす仕事です！】◆ストレッチ専門店でトレーナーとして施術を担当 ◆手厚い研修あり！未経験でも安心♪,264万円～600万円
16,互栄土木建設株式会社 | ◆1回の賞与で100万円の支給実績あり！◆月給大幅アップ可能！,【丁寧＆じっくり育成します】道路の舗装を中心に社会のインフラを支える！適性・希望に応じ、施工管理（道路工事の監督）・補助業務をお任せします。,350万円～500万円
17,株式会社杉並モータース | ★残業代100%支給★有休取得率ほぼ100％ ★Web面接OK★日勤勤務,【もっと評価されるべき仕事！⇒その想いから高待遇でお迎え】◆車のトラブルに駆けつけて、お客様のお困りごとを解決！★待機時間は自由に活用してOK,300万円～500万円
