,会社名,仕事内容,項目C
0,株式会社IDD | 未経験大歓迎/高収入/転勤なし/完全週休2日/ノルマ一切なし,【提案営業】携帯に関する通信コンサル営業！一般社員の平均月収は40万円以上で管理職になれば年収1000万円以上は確定！？全国民がターゲットです♪,
1,株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同,＊完全人物採用＊今までの経験や学歴一切不問！人柄で採用をしています♪未経験入社92％＊経歴・学歴一切不問＊,
2,株式会社エージェントゲート | 化粧品メーカー等と取引/産育休取得＆復帰100％/残業基本なし,《全国採用・転勤なし》現在、東京・大阪・広島・四国・静岡エリアで採用強化中！ ご状況次第では即日勤…,
3,株式会社リンクスタッフグループ | ＜コロナ禍でも前年比成長率150%見込み！＞★実力を試せる！,月給25万円〜＋各手当＋低インセンティブ＋賞与 月給20万円〜＋各手当＋高インセンティブ＋賞与 ※月給は…,
4,株式会社エストゥルース | 【当社の実話】土日祝休み/残業ゼロ/未経験入社でも年収1200万円,400万円～1200万円,
5,株式会社京栄センター | 《名古屋・東京・大阪・京都・福岡での募集》◆平均年齢27.5歳,【こんなにも早く転職できるなんて！という声が多数！】各プロジェクト先にて、資材管理業務全般をお任せ★土日休み・年収600万円以上も可能,
6,DSP株式会社 | <大阪府緊急雇用対策に賛同>【完全週休2日】【産休育休実績有】,◆20～30代の男性が中心に活躍中◆経験不問！転職回数も不問です！未経験者大歓迎！『年収面でもっと周りに差をつけたい…』そんな方は是非！,
7,JCSロジスコ株式会社 | ◆電話・Web面接も可能／翌日振込・前払いもOK／勤務地自由！◆,★希望勤務地を考慮 ★Ｕ・Ｉターン歓迎 ★全国47都道府県のプロジェクト先(首都圏・東北・関西・中…,
8,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,"■関東 月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ■関西/中四国 月…",
9,株式会社日光ホーム | 【人気芸人を起用したCMで知名度抜群！】,350万円～500万円,
10,株式会社エージェントゲート | 大手プライム多数/前職以上の給与最大限保証/リモート勤務有,＊平日決まった時間のお仕事で、予定も立てやすい＊【土日祝休み可】TELでの問い合わせ対応など★残業月平均5～10h/有給取得率100％です！,
11,"住友不動産株式会社 | 【東証一部上場】★転勤なし ★5人に1人が年収1,000万円以上！",＊働き方を変えたいでOK＊【第二新卒歓迎/話すのが好きな方にピッタリ】◎何らからの事務経験1年以上★IT不問でコールセンター経験も活かせます！,
12,光電気工事株式会社 | 『年休120日～×最高の仲間×新社屋勤務』★年収700万も目指せる,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原）などの各クライアント先 【リモ…,
13,UTエイム株式会社 | 【東証1部上場グループの安定基盤】条件重視の方はぜひ！,月給22〜30万円 ※上記には一律のみなし残業手当が含まれています。 ※30時間分／4万円以上 ⇒みなし残…,
14,UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／今月入社も可能,264万円～600万円,
