,会社名,項目B,項目C
0,エムケイ株式会社 | 【大阪府緊急雇用対策に賛同】★社員寮完備★昼勤or夜勤を選択可,,
1,株式会社誠進堂 | 売上は昨年対比170％UP／平均月収50万円＆平均年収700万円！,,
2,UTコンストラクション株式会社 | <東証一部上場グループ>家電家具付き社宅＋6割補助＋引越費支給,,
3,株式会社栄商 | 【U・Iターン歓迎】引越し費用会社負担 & 住宅費用補助あり,,
4,大東建託株式会社 | 【東証一部上場】◆全国募集◆残業代1分単位支給◆Web説明会実施,,
5,株式会社エフティグループ | 東証JASDAQ上場総合商社★成果主義★年休120日★WEB面接1回,,
6,東建コーポレーション株式会社 | ◎WEB面接実施中　◎全国採用実施中（自宅近くの拠点を考慮）,,
7,UTエイム株式会社 | 【東証一部上場グループ】安定性抜群★WEB面接OK,,
8,東建コーポレーション株式会社 | ◎WEB面接実施中　◎全国採用実施中（自宅近くの拠点を考慮）,,
9,株式会社ミュゼプラチナム | ★週休3日もOK★コスメ社割／全身美容脱毛0円★WEB面接1回,,
10,ケイアイスター不動産株式会社 | 【東証一部上場】CM放映中！昨年も約30店出店/「くるみん」取得,,
11,株式会社いーふらん | 高級宝飾時計商おたからや,,
12,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,,
13,日本eリモデル株式会社 | 勤続1年以上の平均月収60万円【大阪府緊急雇用対策に賛同】,,
14,リアルバード株式会社 | ★最長2年3カ月の充実研修★企業のリスクマネジメントをサポート,,
15,東建コーポレーション株式会社 | ＼若手限定求人／ 20代で年収100万円以上UPの先輩多数！,,
16,東建コーポレーション株式会社 | WEB面接実施！『 年齢に関係なく、まだまだやれる会社です！』,,
17,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,,
18,UTエイム株式会社 | 【超スピード選考】最短当日面談＆当日採用(規定有)！,,
19,UTエイム株式会社 | 【東証一部上場グループ】フリーターもOK！大切なのはこれから♪,,
20,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,,
21,"フジイハウス産業株式会社 | 【""三菱地所""や""住友不動産""と取引】大阪府緊急雇用対策に賛同",,
22,株式会社貴順 | ★未経験歓迎★週・日払いも可★男女活躍中★契約祝金3万円あり,,
23,日研トータルソーシング株式会社 | 【大阪府緊急雇用対策に賛同】◆年休最大160日◆残業ほぼなし,,
24,大同生命保険株式会社 | ★業界経験一切不問 ★有給取得実績多数 ★転勤なし ★土日休み,,
25,神明株式会社 | #残業月平均20h以下 #賞与年2回 #土日休 #資格取得支援制度有り,,
26,株式会社センス | ★広島・福岡支店の採用強化！地元でしっかり稼ぎたい方を歓迎★,,
27,株式会社ガリレオコーポレーション | ☆★完全週休2日制&年間休日117日で、プライベートも充実★☆,,
28,株式会社九州エネコ | 《年収例／3年目 880万円／3年目 738万円／6年目 1421万円》,,
29,株式会社ハマエンジニアリング | 【TV＆WEBCM絶賛放映中】賞与年3回★20代で年収450万円超えも可,,
30,株式会社ソヴリックコーポレーション | 【大阪府緊急雇用対策に賛同】＃未経験＃高収入＃有給取得100％,,
31,リベル株式会社 | ★急成長中の不動産ベンチャー ★面接1回 ★高率インセンティブ,,
32,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,,
33,株式会社エー・エス・エル | 《東証一部上場企業グループ》コロナ禍でも過去最高益レベル！,,
34,株式会社アール・エム | 大阪府緊急雇用対策に賛同｜完全週休2日制・年間休日120日以上,,
35,株式会社コプロ・エンジニアード | 東証・名証一部上場コプロホールディングスのグループ,,
36,株式会社サーバントップ | ★直行直帰OK★インセン賞与年2回｜大阪府緊急雇用対策に賛同,,
37,株式会社グランド1コーポレーション | 入社1年目で年収700万円可／残業ほぼなし／月給25万円～,,
38,株式会社AZism | 【横浜家系ラーメン 大和家／田田】業績好調★転居伴う転勤無し,,
39,株式会社ビッグモーター | 年収800万円も可能★月8～10日休み★面接1回★住宅手当など充実,,
40,株式会社サンテック | 【圧倒的安定感】業界大手×インフラ事業／コロナ禍でも業績好調,,
41,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループの安定基盤】,,
42,JTA株式会社 | 【20代で年収1000万円超えの社員続出中！】◆土日休み◆転勤なし,,
43,日研トータルソーシング株式会社 | 【大阪府緊急雇用対策に賛同】★オンライン説明会開催中！,,
44,株式会社ロジカル | コロナ禍・景気にも左右されない安定企業◆面接1回で内定,,
45,クルーガーグループ株式会社 | 業績好調！全国で複数名の積極採用／面接1回／福利厚生◎,,
46,日研トータルソーシング株式会社 | 大阪府緊急雇用対策に賛同　★応募から1～2週間でスピード内定可,,
47,株式会社クラシアン | 未経験歓迎★日本全国に展開中！好きな街で働ける,,
48,日研トータルソーシング株式会社 | 【大阪府緊急雇用対策に賛同】◆年休最大160日◆地域限定正社員,,
